,Title,Author,About_author,Foreword,Description,Image,Genres,Series,Order,Pages,Format,First_published,Rating,Review_count
38,Fahrenheit 451,Ray Bradbury,"Ray Douglas Bradbury, American novelist, short story writer, essayist, playwright, screenwriter and poet, was born August 22, 1920 in Waukegan, Illinois. He graduated from a Los Angeles high school in 1938. Although his formal education ended there, he became a ""student of life,"" selling newspapers on L.A. street corners from 1938 to 1942, spending his nights in the public library and his days at the typewriter. He became a full-time writer in 1943, and contributed numerous short stories to periodicals before publishing a collection of them, Dark Carnival, in 1947. 

His reputation as a writer of courage and vision was established with the publication of The Martian Chronicles in 1950, which describes the first attempts of Earth people to conquer and colonize Mars, and the unintended consequences. Next came The Illustrated Man and then, in 1953, Fahrenheit 451, which many consider to be Bradbury's masterpiece, a scathing indictment of censorship set in a future world where the written word is forbidden. In an attempt to salvage their history and culture, a group of rebels memorize entire works of literature and philosophy as their books are burned by the totalitarian state. Other works include The October Country, Dandelion Wine, A Medicine for Melancholy, Something Wicked This Way Comes, I Sing the Body Electric!, Quicker Than the Eye, and Driving Blind. In all, Bradbury has published more than thirty books, close to 600 short stories, and numerous poems, essays, and plays. His short stories have appeared in more than 1,000 school curriculum ""recommended reading"" anthologies. 

Ray Bradbury's work has been included in four Best American Short Story collections. He has been awarded the O. Henry Memorial Award, the Benjamin Franklin Award, the World Fantasy Award for Lifetime Achievement, the Grand Master Award from the Science Fiction Writers of America, the PEN Center USA West Lifetime Achievement Award, among others. In November 2000, the National Book Foundation Medal for Distinguished Contribution to American Letters was conferred upon Mr. Bradbury at the 2000 National Book Awards Ceremony in New York City. 

Ray Bradbury has never confined his vision to the purely literary. He has been nominated for an Academy Award (for his animated film Icarus Montgolfier Wright), and has won an Emmy Award (for his teleplay of The Halloween Tree). He adapted sixty-five of his stories for television's Ray Bradbury Theater. He was the creative consultant on the United States Pavilion at the 1964 New York World's Fair. In 1982 he created the interior metaphors for the Spaceship Earth display at Epcot Center, Disney World, and later contributed to the conception of the Orbitron space ride at Euro-Disney, France. 

Married since 1947, Mr. Bradbury and his wife Maggie lived in Los Angeles with their numerous cats. Together, they raised four daughters and had eight grandchildren. Sadly, Maggie passed away in November of 2003. 

On the occasion of his 80th birthday in August 2000, Bradbury said, ""The great fun in my life has been getting up every morning and rushing to the typewriter because some new idea has hit me. The feeling I have every day is very much the same as it was when I was twelve. In any event, here I am, eighty years old, feeling no different, full of a great sense of joy, and glad for the long life that has been allowed me. I have good plans for the next ten or twenty years, and I hope you'll come along.""","Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.","Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg,"Classics, Fiction, Science Fiction, Dystopia, School, Literature, Novels",,,194,Kindle,"October 19, 1953",3.97,70025
39,Brave New World,Aldous Huxley,"Brave New World
 (1932), best-known work of British writer Aldous Leonard Huxley, paints a grim picture of a scientifically organized utopia. 

This most prominent member of the famous Huxley family of England spent the part of his life from 1937 in Los Angeles in the United States until his death. Best known for his novels and wide-ranging output of essays, he also published short stories, poetry, travel writing, and film stories and scripts. Through novels and essays, Huxley functioned as an examiner and sometimes critic of social mores, norms and ideals. Spiritual subjects, such as parapsychology and philosophical mysticism, interested Huxley, a humanist, towards the end of his life. People widely acknowledged him as one of the pre-eminent intellectuals of his time before the end of his life.",,"Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling order–all at the cost of our freedom, full humanity, and perhaps also our souls. “A genius [who] who spent his life decrying the onward march of the Machine” (The New Yorker), Huxley was a man of incomparable talents: equally an artist, a spiritual seeker, and one of history’s keenest observers of human nature and civilization. Brave New World, his masterpiece, has enthralled and terrified millions of readers, and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying work of literature. Written in the shadow of the rise of fascism during the 1930s, Brave New Worldd likewise speaks to a 21st-century world dominated by mass-entertainment, technology, medicine and pharmaceuticals, the arts of persuasion, and the hidden influence of elites. 

""Aldous Huxley is the greatest 20th century writer in English."" —Chicago Tribune",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,"Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, School",,,268,Paperback,"January 1, 1932",3.99,45220
40,One Hundred Years of Solitude,Gabriel García Márquez,"Gabriel José de la Concordia Garcí­a Márquez was a Colombian novelist, short-story writer, screenwriter and journalist. Garcí­a Márquez, familiarly known as ""Gabo"" in his native country, was considered one of the most significant authors of the 20th century. In 1982, he was awarded the Nobel Prize in Literature.

He studied at the University of Bogotá and later worked as a reporter for the Colombian newspaper El Espectador and as a foreign correspondent in Rome, Paris, Barcelona, Caracas, and New York. He wrote many acclaimed non-fiction works and short stories, but is best-known for his novels, such as One Hundred Years of Solitude (1967) and Love in the Time of Cholera (1985). His works have achieved significant critical acclaim and widespread commercial success, most notably for popularizing a literary style labeled as magical realism, which uses magical elements and events in order to explain real experiences. Some of his works are set in a fictional village called Macondo, and most of them express the theme of solitude.

Having previously written shorter fiction and screenplays, García Márquez sequestered himself away in his Mexico City home for an extended period of time to complete his novel Cien años de soledad, or One Hundred Years of Solitude, published in 1967. The author drew international acclaim for the work, which ultimately sold tens of millions of copies worldwide. García Márquez is credited with helping introduce an array of readers to magical realism, a genre that combines more conventional storytelling forms with vivid, layers of fantasy.

Another one of his novels, El amor en los tiempos del cólera (1985), or Love in the Time of Cholera, drew a large global audience as well. The work was partially based on his parents' courtship and was adapted into a 2007 film starring Javier Bardem. García Márquez wrote seven novels during his life, with additional titles that include El general en su laberinto (1989), or The General in His Labyrinth, and Del amor y otros demonios (1994), or Of Love and Other Demons.

(Arabic: جابرييل جارسيا ماركيز) (Hebrew: גבריאל גארסיה מרקס) (Ukrainian: Ґабріель Ґарсія Маркес) (Belarussian: Габрыель Гарсія Маркес) (Russian: Габриэль Гарсия Маркес)",,"The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg,"Fiction, Magical Realism, Literature, Fantasy, Novels, Historical Fiction, Spanish Literature",,,417,Mass,"May 1, 1967",4.11,43626
41,The Time Traveler's Wife,Audrey Niffenegger,"Audrey Niffenegger (born June 13, 1963 in South Haven, Michigan) is a writer and artist. She is also a professor in the MFA Creative Writing Program at Columbia College Chicago. 

Niffenegger's debut novel, The Time Traveler's Wife (2003), was a national bestseller. The Time Traveler's Wife is an unconventional love story that centers on a man with a strange genetic disorder that causes him to unpredictably time-travel and his wife, an artist, who has to cope with his constant absence. 

Her Fearful Symmetry (2009), Niffenegger's second novel, is set in London's Highgate Cemetery where, during research for the book, Niffenegger acted as a tour guide.

Niffenegger has also published graphic and illustrated novels including: The Adventuress (2006), The Three Incestuous Sisters (2005), The Night Bookmobile (2009), and Raven Girl (2013). Raven Girl was adapted into a ballet by Resident Choreographer Wayne McGregor and the Royal Opera House Ballet (London) in 2013. 

A mid-career retrospective entitled ""Awake in the Dream World: The Art of Audrey Niffenegger,"" was presented by the National Museum of Women in the Arts (Washington D.C.) in 2013. An accompanying exhibition catalogue examines several themes in Niffenegger's visual art including her explorations of life, mortality, and magic.",,"This is the extraordinary love story of Clare and Henry, who met when Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry was thirty. Impossible but true, because Henry suffers from a rare condition where his genetic clock periodically resets and he finds himself pulled suddenly into his past or future. In the face of this force they can neither prevent nor control, Henry and Clare's struggle to lead normal lives is both intensely moving and entirely unforgettable.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684.jpg,"Fiction, Romance, Fantasy, Time Travel, Science Fiction, Contemporary, Adult",,,537,ebook,"January 1, 2003",3.99,52710
42,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini was born in Kabul, Afghanistan, in 1965. In 1970 Hosseini and his family moved to Iran where his father worked for the Embassy of Afghanistan in Tehran. In 1973 Hosseini's family returned to Kabul, and Hosseini's youngest brother was born in July of that year.
In 1976, when Hosseini was 11 years old, Hosseini's father obtained a job in Paris, France, and moved the family there. They were unable to return to Afghanistan because of the Saur Revolution in which the PDPA communist party seized power through a bloody coup in April 1978. Instead, a year after the Soviet invasion of Afghanistan, in 1980 they sought political asylum in the United States and made their residence in San Jose, California.
Hosseini graduated from Independence High School in San Jose in 1984 and enrolled at Santa Clara University, where he earned a bachelor's degree in biology in 1988. The following year, he entered the University of California, San Diego, School of Medicine, where he earned his M.D. in 1993. He completed his residency in internal medicine at Cedars-Sinai Medical Center in Los Angeles in 1996. He practiced medicine for over ten years, until a year and a half after the release of The Kite Runner.
Hosseini is currently a Goodwill Envoy for the United Nations High Commissioner for Refugees (UNHCR). He has been working to provide humanitarian assistance in Afghanistan through the Khaled Hosseini Foundation. The concept for the foundation was inspired by the trip to Afghanistan that Hosseini made in 2007 with UNHCR.
He lives in Northern California with his wife, Roya, and their two children (Harris and Farah).",,"Mariam is only fifteen when she is sent to Kabul to marry the troubled and bitter Rasheed, who is thirty years her senior. Nearly two decades later, in a climate of growing unrest, tragedy strikes fifteen-year-old Laila, who must leave her home and join Mariam's unhappy household. Laila and Mariam are to find consolation in each other, their friendship to grow as deep as the bond between sisters, as strong as the ties between mother and daughter. 

With the passing of time comes Taliban rule over Afghanistan, the streets of Kabul loud with the sound of gunfire and bombs, life a desperate struggle against starvation, brutality and fear, the women's endurance tested beyond their worst imaginings. Yet love can move people to act in unexpected ways, lead them to overcome the most daunting obstacles with a startling heroism. In the end it is love that triumphs over death and destruction.

""A Thousand Splendid Suns"" is a portrait of a wounded country and a story of family and friendship, of an unforgiving time, an unlikely bond, and an indestructible love.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029.jpg,"Fiction, Historical Fiction, Contemporary, Historical, Novels, Classics, War",,,372,Hardcover,"May 1, 2007",4.43,73522
43,The Princess Bride,William Goldman,"Goldman grew up in a Jewish family in Highland Park, Illinois, a Chicago suburb, and obtained a BA degree at Oberlin College in 1952 and an MA degree at Columbia University in 1956.His brother was the late James Goldman, author and playwright.

William Goldman had published five novels and had three plays produced on Broadway before he began to write screenplays. Several of his novels he later used as the foundation for his screenplays.

 In the 1980s he wrote a series of memoirs looking at his professional life on Broadway and in Hollywood (in one of these he famously remarked that ""Nobody knows anything""). He then returned to writing novels. He then adapted his novel The Princess Bride to the screen, which marked his re-entry into screenwriting. 

Goldman won two Academy Awards: an Academy Award for Writing Original Screenplay for Butch Cassidy and the Sundance Kid, and an Academy Award for Writing Adapted Screenplay for All the President's Men. He also won two Edgar Awards, from the Mystery Writers of America, for Best Motion Picture Screenplay: for Harper in 1967, and for Magic (adapted from his own 1976 novel) in 1979.

Goldman died in New York City on November 16, 2018, due to complications from colon cancer and pneumonia. He was eighty-seven years old.",,"What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?

As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitation, and only the ""good parts"" reached his ears.

Now Goldman does Dad one better. He's reconstructed the ""Good Parts Version"" to delight wise kids and wide-eyed grownups everywhere.

What's it about? Fencing. Fighting. True Love. Strong Hate. Harsh Revenge. A Few Giants. Lots of Bad Men. Lots of Good Men. Five or Six Beautiful Women. Beasties Monstrous and Gentle. Some Swell Escapes and Captures. Death, Lies, Truth, Miracles, and a Little Sex.

In short, it's about everything.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg,"Fantasy, Classics, Fiction, Romance, Humor, Young Adult, Adventure",,,429,Paperback,"September 1, 1973",4.27,25153
44,The Secret Garden,Frances Hodgson Burnett,"Frances Eliza Hodgson was the daughter of ironmonger Edwin Hodgson, who died three years after her birth, and his wife Eliza Boond. She was educated at The Select Seminary for Young Ladies and Gentleman until the age of fifteen, at which point the family ironmongery, then being run by her mother, failed, and the family emigrated to Knoxville, Tennessee. Here Hodgson began to write, in order to supplement the family income, assuming full responsibility for the family upon the death of her mother, in 1870. In 1872 she married Dr. Swan Burnett, with whom she had two sons, Lionel and Vivian. The marriage was dissolved in 1898. In 1900 Burnett married actor Stephen Townsend until 1902 when they got divorced. Following her great success as a novelist, playwright, and children's author, Burnett maintained homes in both England and America, traveling back and forth quite frequently. She died in her Long Island, New York home, in 1924.

Primarily remembered today for her trio of classic children's novels - Little Lord Fauntleroy (1886), A Little Princess (1905), and The Secret Garden (1911) - Burnett was also a popular adult novelist, in her own day, publishing romantic stories such as The Making of a Marchioness (1901) for older readers.",,"In a house full of sadness and secrets, can young, orphaned Mary find happiness?

Mary Lennox, a spoiled, ill-tempered, and unhealthy child, comes to live with her reclusive uncle in Misselthwaite Manor on England’s Yorkshire moors after the death of her parents. There she meets a hearty housekeeper and her spirited brother, a dour gardener, a cheerful robin, and her wilful, hysterical, and sickly cousin, Master Colin, whose wails she hears echoing through the house at night.

With the help of the robin, Mary finds the door to a secret garden, neglected and hidden for years. When she decides to restore the garden in secret, the story becomes a charming journey into the places of the heart, where faith restores health, flowers refresh the spirit, and the magic of the garden, coming to life anew, brings health to Colin and happiness to Mary.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998.jpg,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Fantasy",,,331,Hardcover,"August 1, 1911",4.15,27156
45,A Game of Thrones,George R.R. Martin,"George Raymond Richard ""R.R."" Martin was born September 20, 1948, in Bayonne, New Jersey. His father was Raymond Collins Martin, a longshoreman, and his mother was Margaret Brady Martin. He has two sisters, Darleen Martin Lapinski and Janet Martin Patten. 

Martin attended Mary Jane Donohoe School and Marist High School. He began writing very young, selling monster stories to other neighborhood children for pennies, dramatic readings included. Later he became a comic book fan and collector in high school, and began to write fiction for comic fanzines (amateur fan magazines). Martin's first professional sale was made in 1970 at age 21: The Hero, sold to Galaxy, published in February, 1971 issue. Other sales followed. 

In 1970 Martin received a B.S. in Journalism from Northwestern University, Evanston, Illinois, graduating summa cum laude. He went on to complete a M.S. in Journalism in 1971, also from Northwestern. 

As a conscientious objector, Martin did alternative service 1972-1974 with VISTA, attached to Cook County Legal Assistance Foundation. He also directed chess tournaments for the Continental Chess Association from 1973-1976, and was a Journalism instructor at Clarke College, Dubuque, Iowa, from 1976-1978. He wrote part-time throughout the 1970s while working as a VISTA Volunteer, chess director, and teacher. 

In 1975 he married Gale Burnick. They divorced in 1979, with no children. Martin became a full-time writer in 1979. He was writer-in-residence at Clarke College from 1978-79. 

Moving on to Hollywood, Martin signed on as a story editor for Twilight Zone at CBS Television in 1986. In 1987 Martin became an Executive Story Consultant for Beauty and the Beast at CBS. In 1988 he became a Producer for Beauty and the Beast, then in 1989 moved up to Co-Supervising Producer. He was Executive Producer for Doorways, a pilot which he wrote for Columbia Pictures Television, which was filmed during 1992-93. 

Martin's present home is Santa Fe, New Mexico. He is a member of Science Fiction & Fantasy Writers of America (he was South-Central Regional Director 1977-1979, and Vice President 1996-1998), and of Writers' Guild of America, West. 

http://us.macmillan.com/author/george...",,"Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister forces are massing beyond the kingdom’s protective Wall. To the south, the king’s powers are failing—his most trusted adviser dead under mysterious circumstances and his enemies emerging from the shadows of the throne. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the frozen land they were born to. Now Lord Eddard Stark is reluctantly summoned to serve as the king’s new Hand, an appointment that threatens to sunder not only his family but the kingdom itself.

Sweeping from a harsh land of cold to a summertime kingdom of epicurean plenty, A Game of Thrones tells a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; a child is lost in the twilight between life and death; and a determined woman undertakes a treacherous journey to protect all she holds dear. Amid plots and counter-plots, tragedy and betrayal, victory and terror, allies and enemies, the fate of the Starks hangs perilously in the balance, as each side endeavors to win that deadliest of conflicts: the game of thrones.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg,"Fantasy, Fiction, Epic Fantasy, Adult, High Fantasy, Science Fiction Fantasy, Adventure",A Song of Ice and Fire ,1,835,Mass,"August 6, 1996",4.44,62158
46,The Outsiders,S.E. Hinton,"S.E. Hinton, was and still is, one of the most popular and best known writers of young adult fiction. Her books have been taught in some schools, and banned from others. Her novels changed the way people look at young adult literature. 

Susan Eloise Hinton was born in Tulsa, Oklahoma. She has always enjoyed reading but wasn't satisfied with the literature that was being written for young adults, which influenced her to write novels like The Outsiders. That book, her first novel, was published in 1967 by Viking.",,"The Outsiders is about two weeks in the life of a 14-year-old boy. The novel tells the story of Ponyboy Curtis and his struggles with right and wrong in a society in which he believes that he is an outsider. According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.

Librarian note: This record is for one of the three editions published with different covers and with ISBN 0-140-38572-X / 978-0-14-038572-4. The records are for the 1988 cover (this record), the 1995 cover, and the 2008 cover which is also the current in-print cover.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg,"Classics, Young Adult, Fiction, School, Read For School, Realistic Fiction, Coming Of Age",,,192,Mass,"April 24, 1967",4.12,44976
47,A Wrinkle in Time,Madeleine L'Engle,"Madeleine L'Engle was an American writer best known for her young adult fiction, particularly the Newbery Medal-winning A Wrinkle in Time and its sequels A Wind in the Door, A Swiftly Tilting Planet, and Many Waters. Her works reflect her strong interest in modern science: tesseracts, for example, are featured prominently in A Wrinkle in Time, mitochondrial DNA in A Wind in the Door, organ regeneration in The Arm of the Starfish, and so forth.

""Madeleine was born on November 29th, 1918, and spent her formative years in New York City. Instead of her school work, she found that she would much rather be writing stories, poems and journals for herself, which was reflected in her grades (not the best). However, she was not discouraged.

At age 12, she moved to the French Alps with her parents and went to an English boarding school where, thankfully, her passion for writing continued to grow. She flourished during her high school years back in the United States at Ashley Hall in Charleston, South Carolina, vacationing with her mother in a rambling old beach cottage on a beautiful stretch of Florida beach.

She went to Smith College and studied English with some wonderful teachers as she read the classics and continued her own creative writing. She graduated with honors and moved into a Greenwich Village apartment in New York. She worked in the theater, where Equity union pay and a flexible schedule afforded her the time to write! She published her first two novels during these years—A Small Rain and Ilsa—before meeting Hugh Franklin, her future husband, when she was an understudy in Anton Chekov's The Cherry Orchard. They married during The Joyous Season.

She had a baby girl and kept on writing, eventually moving to Connecticut to raise the family away from the city in a small dairy farm village with more cows than people. They bought a dead general store, and brought it to life for 9 years. They moved back to the city with three children, and Hugh revitalized his professional acting career. The family has kept the country house, Crosswicks, and continues to spend summers there.

As the years passed and the children grew, Madeleine continued to write and Hugh to act, and they to enjoy each other and life. Madeleine began her association with the Cathedral Church of St. John the Divine, where she has been the librarian and maintained an office for more than thirty years. After Hugh's death in 1986, it was her writing and lecturing that kept her going. She has now lived through the 20th century and into the 21st and has written over 60 books and keeps writing. She enjoys being with her friends, her children, her grandchildren, and her great grandchildren.""

http://us.macmillan.com/author/madele...

Copyright © 2007 Crosswicks, Ltd. (Madeleine L'Engle, President)",It was a dark and stormy night.,"Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.

Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade",Time Quintet ,1,218,Paperback,"January 1, 1962",3.98,38767
48,Little Women,Louisa May Alcott,"People best know American writer Louisa May Alcott for 
Little Women
 (1868), her largely autobiographical novel. 

As  A.M. Barnard: 

Behind a Mask, or a Woman's Power
 (1866)

The Abbot's Ghost, or Maurice Treherne's Temptation
 (1867)

A Long Fatal Love Chase
 (1866 – first published 1995)
First published anonymously:

A Modern Mephistopheles
 (1877)

Philosopher-teacher Amos Bronson Alcott, educated his four daughters, Anna, Louisa, Elizabeth and May and Abigail May, wife of Amos, reared them on her practical Christianity. 

Louisa spent her childhood in Boston and Concord, Massachusetts, where visits to library of Ralph Waldo Emerson, excursions into nature with Henry David Thoreau, and theatricals in the barn at Hillside (now ""Wayside"") of Nathaniel Hawthorne enlightened her days. 

Like Jo March, her character in Little Women, young Louisa, a tomboy, claimed: ""No boy could be my friend till I had beaten him in a race, ... and no girl if she refused to climb trees, leap fences....""

Louisa wrote early with a passion. She and her sisters often acted out her melodramatic stories of her rich imagination for friends. Louisa preferred to play the ""lurid"" parts in these plays, ""the villains, ghosts, bandits, and disdainful queens."" 

At 15 years of age in 1847, the poverty that plagued her family troubled her, who vowed: ""I will do something by and by. Don’t care what, teach, sew, act, write, anything to help the family; and I’ll be rich and famous and happy before I die, see if I won’t!"" 

Confronting a society that offered little opportunity to women, seeking employment, Louisa determined ""...I will make a battering-ram of my head and make my way through this rough and tumble world."" Whether as a teacher, seamstress, governess, or household servant, Louisa ably found work for many years. 

Career of Louisa as an author began with poetry and short stories in popular magazines. In 1854, people published Flower Fables, her first book, at 22 years of age. From her post as a nurse in Washington, District of Columbia, during the Civil War, she wrote home letters that based Hospital Sketches (1863), a milestone along her literary path. 

Thomas Niles, a publisher in Boston, asked 35-year-old Louisa in 1867 to write ""a book for girls."" She wrote Little Women at Orchard House from May to July 1868. Louisa and her sisters came of age in the novel, set in New England during Civil War. From her own individuality, Jo March, the first such American juvenile heroine, acted as a living, breathing person rather than the idealized stereotype that then prevailed in fiction of children. 

Louisa published more than thirty books and collections of stories. Only two days after her father predeceased her, she died, and survivors buried her body in Sleepy Hollow cemetery in Concord.",,"This is an alternate cover edition of ISBN 9780451529305.

Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott’s most popular and enduring novel, Little Women. Here are talented tomboy and author-to-be Jo, tragically frail Beth, beautiful Meg, and romantic, spoiled Amy, united in their devotion to each other and their struggles to survive in New England during the Civil War.
It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ""woman’s work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the ""girl’s book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg,"Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature",Little Women ,1,449,Mass,"January 1, 1868",4.14,47788
49,1984,George Orwell,"Eric Arthur Blair, better known by his pen name George Orwell, was an English author and journalist. His work is marked by keen intelligence and wit, a profound awareness of social injustice, an intense opposition to totalitarianism, a passion for clarity in language, and a belief in democratic socialism.

In addition to his literary career Orwell served as a police officer with the Indian Imperial Police in Burma from 1922-1927 and fought with the Republicans in the Spanish Civil War from 1936-1937. Orwell was severely wounded when he was shot through his throat. Later the organization that he had joined when he joined the Republican cause, The Workers Party of Marxist Unification (POUM), was painted by the pro-Soviet Communists as a Trotskyist organization (Trotsky was Joseph Stalin's enemy) and disbanded. Orwell and his wife were accused of ""rabid Trotskyism"" and tried in absentia in Barcelona, along with other leaders of the POUM, in 1938. However by then they had escaped from Spain and returned to England. 

Between 1941 and 1943, Orwell worked on propaganda for the BBC. In 1943, he became literary editor of the Tribune, a weekly left-wing magazine. He was a prolific polemical journalist, article writer, literary critic, reviewer, poet, and writer of fiction, and, considered perhaps the twentieth century's best chronicler of English culture. 

Orwell is best known for the dystopian novel Nineteen Eighty-Four (published in 1949) and the satirical novella Animal Farm (1945) — they have together sold more copies than any two books by any other twentieth-century author. His 1938 book Homage to Catalonia, an account of his experiences as a volunteer on the Republican side during the Spanish Civil War, together with numerous essays on politics, literature, language, and culture, have been widely acclaimed.
 
Orwell's influence on contemporary culture, popular and political, continues decades after his death. Several of his neologisms, along with the term ""Orwellian"" — now a byword for any oppressive or manipulative social phenomenon opposed to a free society — have entered the vernacular.",,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life—the ubiquity of television, the distortion of the language—and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427.jpg,"Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels",,,298,Kindle,"June 8, 1949",4.19,108770
